Unicode,Bytes,Description
U+1F3A4,\xf0\x9f\x8e\xa4,microphone
U+1F3A5,\xf0\x9f\x8e\xa5,movie_camera
U+1F3A6,\xf0\x9f\x8e\xa6,cinema
U+1F3A7,\xf0\x9f\x8e\xa7,headphone
U+1F3A8,\xf0\x9f\x8e\xa8,artist_palette
U+1F3A9,\xf0\x9f\x8e\xa9,top_hat
U+1F3AA,\xf0\x9f\x8e\xaa,circus_tent
U+1F3AB,\xf0\x9f\x8e\xab,ticket
U+1F3AC,\xf0\x9f\x8e\xac,clapper_board
U+1F3AD,\xf0\x9f\x8e\xad,performing_arts
U+1F3AE,\xf0\x9f\x8e\xae,video_game
U+1F3AF,\xf0\x9f\x8e\xaf,direct_hit
U+1F3B0,\xf0\x9f\x8e\xb0,slot_machine
U+1F3B1,\xf0\x9f\x8e\xb1,billiards
U+1F3B2,\xf0\x9f\x8e\xb2,game_die
U+1F3B3,\xf0\x9f\x8e\xb3,bowling
U+1F3B4,\xf0\x9f\x8e\xb4,flower_playing_cards
U+1F3B5,\xf0\x9f\x8e\xb5,musical_note
U+1F3B6,\xf0\x9f\x8e\xb6,multiple_musical_notes
U+1F3B7,\xf0\x9f\x8e\xb7,saxophone
U+1F3B8,\xf0\x9f\x8e\xb8,guitar
U+1F3B9,\xf0\x9f\x8e\xb9,musical_keyboard
U+1F3BA,\xf0\x9f\x8e\xba,trumpet
U+1F3BB,\xf0\x9f\x8e\xbb,violin
U+1F3BC,\xf0\x9f\x8e\xbc,musical_score
U+1F3BD,\xf0\x9f\x8e\xbd,running_shirt_with_sash
U+1F3BE,\xf0\x9f\x8e\xbe,tennis_racquet_and_ball
U+1F3BF,\xf0\x9f\x8e\xbf,ski_and_ski_boot
U+1F3C0,\xf0\x9f\x8f\x80,basketball_and_hoop
U+1F3C1,\xf0\x9f\x8f\x81,chequered_flag
U+1F3C2,\xf0\x9f\x8f\x82,snowboarder
U+1F3C3,\xf0\x9f\x8f\x83,runner
U+1F3C4,\xf0\x9f\x8f\x84,surfer
U+1F3C6,\xf0\x9f\x8f\x86,trophy
U+1F3C8,\xf0\x9f\x8f\x88,american_football
U+1F3CA,\xf0\x9f\x8f\x8a,swimmer
U+1F3E0,\xf0\x9f\x8f\xa0,house_building
U+1F3E1,\xf0\x9f\x8f\xa1,house_with_garden
U+1F3E2,\xf0\x9f\x8f\xa2,office_building
U+1F3E3,\xf0\x9f\x8f\xa3,japanese_post_office
U+1F3E5,\xf0\x9f\x8f\xa5,hospital
U+1F3E6,\xf0\x9f\x8f\xa6,bank
U+1F3E7,\xf0\x9f\x8f\xa7,automated_teller_machine
U+1F3E8,\xf0\x9f\x8f\xa8,hotel
U+1F3E9,\xf0\x9f\x8f\xa9,love_hotel
U+1F3EA,\xf0\x9f\x8f\xaa,convenience_store
U+1F3EB,\xf0\x9f\x8f\xab,school
U+1F3EC,\xf0\x9f\x8f\xac,department_store
U+1F3ED,\xf0\x9f\x8f\xad,factory
U+1F3EE,\xf0\x9f\x8f\xae,izakaya_lantern
U+1F3EF,\xf0\x9f\x8f\xaf,japanese_castle
U+1F3F0,\xf0\x9f\x8f\xb0,european_castle
U+1F40C,\xf0\x9f\x90\x8c,snail
U+1F40D,\xf0\x9f\x90\x8d,snake
U+1F40E,\xf0\x9f\x90\x8e,horse
U+1F411,\xf0\x9f\x90\x91,sheep
U+1F412,\xf0\x9f\x90\x92,monkey
U+1F414,\xf0\x9f\x90\x94,chicken
U+1F417,\xf0\x9f\x90\x97,boar
U+1F418,\xf0\x9f\x90\x98,elephant
U+1F419,\xf0\x9f\x90\x99,octopus
U+1F41A,\xf0\x9f\x90\x9a,spiral_shell
U+1F41B,\xf0\x9f\x90\x9b,bug
U+1F41C,\xf0\x9f\x90\x9c,ant
U+1F41D,\xf0\x9f\x90\x9d,honeybee
U+1F41E,\xf0\x9f\x90\x9e,lady_beetle
U+1F41F,\xf0\x9f\x90\x9f,fish
U+1F420,\xf0\x9f\x90\xa0,tropical_fish
U+1F421,\xf0\x9f\x90\xa1,blowfish
U+1F422,\xf0\x9f\x90\xa2,turtle
U+1F423,\xf0\x9f\x90\xa3,hatching_chick
